home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
ESP,OSA,2008/2009,9,11/2/08 0:00,1,0,25563,28439,33768,38385,75196,33773,24099,32766,37429,24852,32764,74736,72541,33865,11778,72542,33870,42369,80555,37507,38424,108809
ALM,REA,2008/2009,9,11/2/08 0:00,1,1,96613,74403,74663,18501,37622,75239,37419,5243,46384,38581,75310,30657,30962,25921,34520,30670,37259,18814,25759,30878,30834,30655
REA,MAL,2008/2009,10,11/8/08 0:00,4,3,30657,30962,34520,30670,28467,18814,32765,30840,30878,42714,25759,33826,33843,41707,25913,38479,11758,33666,102612,37450,43310,45744
BAR,VAL,2008/2009,10,11/8/08 0:00,6,0,32657,33988,30740,37482,30661,33074,36615,39854,30981,33639,30626,96623,37597,37672,38065,2790,33586,33588,33820,75192,33729,39142
SEV,HUE,2008/2009,10,11/9/08 0:00,1,0,33986,70255,33812,33990,33848,33991,31014,34000,33992,30443,33989,33958,42310,37440,,37423,75398,37448,74747,38035,,18628
SAN,SPG,2008/2009,10,11/9/08 0:00,1,0,37579,33896,33828,80497,41196,35638,37512,32999,33892,38382,150644,33630,74743,75608,33895,74752,33611,33887,97334,74770,24383,34582
NUM,BET,2008/2009,10,11/9/08 0:00,2,4,75195,75199,102614,38561,74435,38008,,75216,46211,38550,102002,46531,31303,30750,33655,37426,33665,42173,37422,25571,38889,18164
COR,ESP,2008/2009,10,11/9/08 0:00,1,0,33018,33756,37451,34104,41167,30271,37449,38573,37441,31045,37446,25563,28439,,38385,75196,18592,24099,33773,24852,37429,32764
OSA,AMA,2008/2009,10,11/9/08 0:00,0,0,74736,72541,11778,33865,72542,26044,42369,38424,33641,30907,37497,39989,33636,30839,30689,34103,33871,25924,33632,38492,30663,37412
VIL,ALM,2008/2009,10,11/9/08 0:00,2,1,41466,30279,38458,56678,40599,37436,42479,30958,37478,38551,38699,96613,74403,74663,18501,37622,46384,37419,43329,45605,5243,75310
GET,VAL,2008/2009,10,11/9/08 0:00,0,3,34382,37473,32675,37427,37468,37474,27420,37471,41156,37469,37506,19435,34007,34029,30752,34008,37824,30666,32761,38701,41468,30909
MAL,BIL,2008/2009,10,11/9/08 0:00,3,3,32678,24131,33849,33856,33861,37491,31498,37631,38398,37411,33028,33764,33025,33993,33027,154938,30287,37410,33866,,37408,33030
VAL,SPG,2008/2009,11,11/15/08 0:00,2,3,19435,34007,34029,30752,34008,37824,38701,30666,32762,41468,30909,33630,74743,75608,33895,74752,78404,33611,97334,41294,24383,34582
VAL,REA,2008/2009,11,11/15/08 0:00,1,0,96623,37597,33022,38065,2790,75192,33586,33820,33729,6911,38471,30657,30962,34520,30670,28467,41467,18814,30840,32765,25759,30655
BET,SAN,2008/2009,11,11/16/08 0:00,3,1,46531,31303,30750,33655,37426,42173,33665,37422,25571,38889,38578,37579,33896,33828,80497,41196,37512,32999,35638,150644,33892,38382
ESP,NUM,2008/2009,11,11/16/08 0:00,3,4,25563,24137,33768,28439,75196,18592,24099,33773,24852,37429,32764,75195,75199,102614,38561,74435,38008,,75216,38550,97226,102002
AMA,COR,2008/2009,11,11/16/08 0:00,4,1,30664,33636,30839,30689,34103,33632,25924,38492,30663,38460,37412,33018,33756,37451,150328,41167,30271,37449,38573,37441,31045,37446
BIL,OSA,2008/2009,11,11/16/08 0:00,2,0,33764,33025,33993,33027,154938,37410,30287,96619,37605,33866,33030,74736,72541,,33865,72542,26044,42369,38424,30744,80555,23853
ALM,MAL,2008/2009,11,11/16/08 0:00,2,1,96613,74403,74404,18501,37622,5243,37419,46384,,115229,75310,32678,24131,33849,30276,33861,37631,31498,37491,37411,38398,33028
MAL,VIL,2008/2009,11,11/16/08 0:00,2,2,33826,33843,5233,25913,38479,33666,102612,11758,43310,37450,45744,41466,33733,38458,56678,40599,37436,38746,30958,37478,38699,38551
GET,SEV,2008/2009,11,11/16/08 0:00,0,2,34382,37473,,37427,37468,41156,27420,37471,37461,38044,37469,33986,70255,33812,38138,33848,33991,34000,95509,31014,34106,33989
HUE,BAR,2008/2009,11,11/16/08 0:00,0,2,33958,37434,37440,,37423,75398,37448,42310,38035,102572,,32657,33988,30740,37482,30661,154257,36615,39854,30981,33639,30626
